I,Q,U,V,P,ch5,pk1,pk2,pk3,pk4,fwhm1,fwhm2,fwhm3,fwhm4,proms1,proms2,proms3,proms4,d1,d2,d3,d4,st1,st2,st3,st4,rm1,rm2,rm3,rm4,ku1,ku2,ku3,ku4,sk1,sk2,sk3,sk4,s1,s2,s3,s4,ma1,ma2,ma3,ma4
135.3081,-0.0863,-0.1432,-0.1239,0.2081,191.7576,159.0000,101.0000,133.0000,105.0000,15.8750,5.0000,21.1250,13.5000,35.0000,4.0000,35.0000,8.0000,28.6395,0.2124,0.1176,0.3046,9.4404,0.0624,0.0326,0.0725,135.6271,0.1032,0.1472,0.1448,1.7952,2.3875,1.8838,4.3082,-0.4989,0.7348,-0.0560,-1.2699,1.0024,1.1331,1.0247,1.1496,0.2119,2.5949,0.8296,2.6062
124.9408,0.2026,-0.3940,-0.1885,0.4814,268.9545,96.0000,118.0000,109.0000,107.0000,1.0000,3.0000,11.5000,6.0000,1.0000,1.0000,22.0000,1.0000,11.1233,0.1175,0.0930,0.1993,3.6866,0.0389,0.0215,0.0559,124.9928,0.2071,0.3945,0.1977,1.6806,1.6851,3.4440,2.3711,0.0233,0.2776,0.3184,-0.4471,1.0004,1.0173,1.0014,1.0405,0.0890,0.5823,0.2361,1.0706
166.2983,-0.2306,-0.2494,0.0658,0.3460,220.3731,183.0000,114.0000,245.0000,132.0000,27.5833,10.0000,35.4821,38.2500,60.0000,8.0000,132.0000,27.0000,89.3046,0.5381,0.1962,0.6252,29.7761,0.1649,0.0550,0.1848,168.9038,0.2657,0.2622,0.1868,1.5921,2.7995,2.2652,2.0219,-0.1421,1.0284,0.0203,-0.5687,1.0157,1.0923,1.0224,1.1128,0.5414,2.3759,0.7743,4.0414
135.9287,0.0897,-0.2245,-0.1616,0.2908,240.7059,156.0000,125.0000,118.0000,125.0000,10.7500,14.0000,21.0833,17.5500,20.0000,16.0000,23.0000,43.0000,30.9021,0.1767,0.2897,0.3797,10.0221,0.0501,0.0981,0.1214,136.2869,0.1034,0.2434,0.1953,1.7355,2.1347,2.1257,1.7244,-0.1926,0.1418,0.7963,0.1269,1.0026,1.1383,1.0896,1.1983,0.2276,2.1340,1.3902,2.7053
133.4905,0.0388,-0.1512,-0.1161,0.1946,212.3125,148.0000,128.0000,122.0000,107.0000,43.9500,19.0000,13.4167,10.0000,31.0000,33.0000,17.0000,4.0000,34.9399,0.1311,0.2122,0.7980,9.6037,0.0358,0.0402,0.2077,133.8301,0.0521,0.1571,0.2353,2.2298,2.3627,8.0142,3.0211,0.5525,-0.6158,-2.0564,0.8602,1.0025,1.1232,1.0339,1.1300,0.2621,3.0726,1.4175,4.1834
175.6737,0.0296,-0.1354,-0.2648,0.2989,203.6290,287.0000,207.0000,190.0000,198.0000,24.8095,19.6111,24.6000,21.9429,157.0000,96.0000,94.0000,99.0000,136.1746,0.2550,0.2981,0.3930,47.1440,0.0674,0.0990,0.1178,181.7910,0.0756,0.1785,0.2844,1.6485,3.3285,1.9079,1.8278,0.4030,1.1124,-0.6311,0.1526,1.0348,1.4377,1.1977,1.0969,0.7888,6.1492,2.2433,1.6141
142.3916,0.0871,-0.1614,-0.1984,0.2702,255.0694,227.0000,141.0000,138.0000,137.0000,18.6310,21.0833,24.2917,30.8750,69.0000,33.0000,49.0000,51.0000,65.5316,0.4131,0.4165,0.4053,22.6897,0.1355,0.1509,0.1424,144.1632,0.1688,0.2321,0.2339,1.8673,1.6241,1.5976,1.7171,0.6869,-0.1900,0.5208,0.6770,1.0124,1.1674,1.1657,1.1641,0.4630,3.2154,2.3944,2.3588
126.1976,0.2441,-0.0818,0.2114,0.3331,217.7647,120.0000,138.0000,99.0000,74.0000,3.7500,8.6667,15.1250,4.2500,3.0000,20.0000,13.0000,5.0000,18.2965,0.1478,0.1025,0.2906,5.3254,0.0553,0.0357,0.0736,126.3067,0.2490,0.0896,0.2212,2.1409,1.3100,1.5056,2.6013,0.4629,0.1177,0.1032,-0.3671,1.0009,1.0248,1.0871,1.0585,0.1450,0.6161,1.3105,1.4450
129.6921,0.1379,-0.4235,-0.3947,0.5951,230.8077,114.0000,124.0000,114.0000,130.0000,10.0000,11.6667,12.6667,13.5000,10.0000,18.0000,24.0000,14.0000,23.3288,0.0626,0.0760,0.1820,7.4773,0.0211,0.0241,0.0524,129.8992,0.1397,0.4239,0.4003,1.6894,1.5961,1.9559,2.1655,0.0251,-0.1185,-0.5647,-0.4477,1.0016,1.0112,1.0016,1.0084,0.1800,0.4557,0.1798,0.4603
142.4930,-0.1446,-0.0145,-0.0012,0.1453,194.3333,193.0000,96.0000,160.0000,100.0000,16.8250,6.0000,21.4000,14.0000,57.0000,3.0000,67.0000,9.0000,47.3360,0.3201,0.2995,0.3203,15.5434,0.1090,0.0980,0.0888,143.3167,0.1712,0.0984,0.0878,1.6267,1.7023,1.8041,2.6687,-0.0329,0.4347,-0.5911,-0.9303,1.0058,1.1756,1.1837,1.2131,0.3332,2.5388,4.0072,4.9416
